file_id,cell_id,split
FastCharge_000002_CH42_structure.json,el150800737304,train
FastCharge_000046_CH31_structure.json,EL150800460433,train
FastCharge_000015_CH36_structure.json,el150800737287,val
FastCharge_000058_CH46_structure.json,EL150800460636,train
FastCharge_000014_CH24_structure.json,EL150800460522,train
FastCharge_000029_CH9_structure.json,EL150800465027,train
FastCharge_000006_CH27_structure.json,el150800737378,train
FastCharge_000055_CH20_structure.json,el150800460652,train
FastCharge_000002_CH34_structure.json,el150800737368,train
FastCharge_000006_CH43_structure.json,el150800737350,train
FastCharge_000008_CH47_structure.json,EL150800460485,train
FastCharge_000017_CH6_structure.json,el150800737377,train
FastCharge_000012_CH5_structure.json,el150800739495,test
FastCharge_000048_CH43_structure.json,EL150800463229,val
FastCharge_000033_CH14_structure.json,el150800460635,train
FastCharge_000017_CH46_structure.json,el150800737364,train
FastCharge_000009_CH7_structure.json,el150800460611,train
FastCharge_000050_CH32_structure.json,el150800737285,train
FastCharge_000017_CH25_structure.json,el150800737345,train
FastCharge_000048_CH44_structure.json,EL150800460647,train
FastCharge_000017_CH1_structure.json,el150800737277,train
FastCharge_000017_CH41_structure.json,el150800737297,train
FastCharge_000009_CH8_structure.json,el150800460596,val
FastCharge_000015_CH22_structure.json,el150800737319,train
FastCharge_000042_CH36_structure.json,el150800460628,train
FastCharge_000035_CH12_structure.json,el150800460673,train
FastCharge_000002_CH2_structure.json,el150800737315,test
FastCharge_000008_CH48_structure.json,EL150800460656,train
FastCharge_000017_CH9_structure.json,el150800739484,train
FastCharge_000012_CH23_structure.json,el150800737387,test
FastCharge_000059_CH33_structure.json,el150800460631,test
FastCharge_000015_CH20_structure.json,el150800737276,train
FastCharge_000057_CH36_structure.json,EL150800460481,train
FastCharge_000015_CH44_structure.json,el150800739477,val
FastCharge_000012_CH29_structure.json,el150800737275,train
FastCharge_000011_CH26_structure.json,el150800460604,train
FastCharge_000046_CH32_structure.json,EL150800460477,train
FastCharge_000049_CH37_structure.json,el150800460528,train
FastCharge_000012_CH21_structure.json,el150800737314,val
FastCharge_000012_CH45_structure.json,el150800737365,test
FastCharge_000015_CH28_structure.json,el150800737274,train
FastCharge_000052_CH41_structure.json,el150800460526,train
FastCharge_000019_CH30_structure.json,EL150800460436,train
FastCharge_000001_CH38_structure.json,el150800737234,train
FastCharge_000007_CH39_structure.json,el150800737320,train
FastCharge_000007_CH24_structure.json,el150800737386,train
FastCharge_000058_CH45_structure.json,EL150800460618,val
FastCharge_000006_CH48_structure.json,el150800737361,train
FastCharge_000001_CH30_structure.json,el150800737366,train
FastCharge_000002_CH7_structure.json,el150800737367,train
FastCharge_000031_CH9_structure.json,el150800460518,train
FastCharge_000028_CH19_structure.json,EL150800464898,val
FastCharge_000010_CH44_structure.json,el150800460498,train
FastCharge_000029_CH10_structure.json,EL150800463886,test
FastCharge_000050_CH40_structure.json,el150800737279,test
FastCharge_000047_CH21_structure.json,el150800460603,train
FastCharge_000009_CH4_structure.json,el150800460597,test
FastCharge_000002_CH47_structure.json,el150800737334,train
FastCharge_000038_CH13_structure.json,el150800460655,train
FastCharge_000003_CH40_structure.json,EL150800460622,train
FastCharge_000040_CH32_structure.json,el150800460608,train
FastCharge_000017_CH33_structure.json,el150800737299,train
FastCharge_000003_CH39_structure.json,EL150800460525,train
